list,combination,drug,method
i_74,c_77,d_6,m_1
i_74,c_77,d_6,m_2
i_86,c_79,d_7,m_1
i_86,c_79,d_7,m_2
i_88,c_79,d_7,m_2
i_89,c_79,d_7,m_1
i_101,c_8,d_9,m_2
i_101,c_8,d_18,m_2
i_99,c_80,d_9,m_2
i_105,c_81,d_10,m_2
i_106,c_81,d_10,m_2
i_118,c_82,d_12,m_2
i_126,c_83,d_14,m_2
i_130,c_84,d_15,m_2
i_131,c_84,d_15,m_2
i_130,c_84,d_18,m_2
i_135,c_85,d_16,m_1
i_135,c_85,d_16,m_2
i_138,c_86,d_17,m_2
i_142,c_87,d_18,m_2
i_143,c_88,d_18,m_2
i_146,c_89,d_9,m_2
i_146,c_89,d_18,m_2
i_103,c_9,d_10,m_2
i_104,c_9,d_10,m_2
i_147,c_90,d_18,m_2
i_147,c_90,d_25,m_2
i_201,c_91,d_25,m_1
i_225,c_92,d_27,m_2
i_226,c_93,d_27,m_2
i_239,c_94,d_31,m_2
i_242,c_95,d_31,m_1
i_242,c_95,d_31,m_2
i_244,c_96,d_31,m_1
i_244,c_96,d_31,m_2
i_246,c_96,d_31,m_2
i_247,c_96,d_31,m_1
i_257,c_97,d_33,m_2
i_258,c_97,d_33,m_2
i_289,c_98,d_35,m_1
i_289,c_98,d_35,m_2
